LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734687907.662158,211158.000,32543,2,GY,1,100,0.793
1734687907.702157,211198.000,32543,2,GY,1,100,2.655
1734687907.742157,211238.000,32560,3,GY,1,100,0.122
1734687907.782157,211278.000,32560,3,GY,1,100,-1.892
1734687907.822157,211318.000,32560,3,GY,1,100,-0.671
1734687907.862156,211358.000,32576,2,GY,1,100,-0.641
1734687907.902156,211398.000,32576,2,GY,1,100,0.153
1734687907.942156,211438.000,32594,3,GY,1,100,0.092
1734687907.982156,211478.000,32594,3,GY,1,100,-1.038
1734687908.022155,211518.000,32594,3,GY,1,100,-0.397
1734687908.062155,211558.000,32612,2,GY,1,100,0.977
1734687908.102155,211598.000,32612,2,GY,1,100,3.326
1734687908.142154,211638.000,32627,3,GY,1,100,0.732
1734687908.182154,211678.000,32627,3,GY,1,100,-0.519
1734687908.222154,211718.000,32627,3,GY,1,100,0.153
1734687908.257820,211753.667,32644,3,GY,1,100,-0.580
1734687908.293487,211789.333,32644,3,GY,1,100,-0.214
1734687908.329153,211825.000,32644,3,GY,1,100,0.214
1734687908.369153,211865.000,32661,2,GY,1,100,-1.831
1734687908.409153,211905.000,32661,2,GY,1,100,-1.556
1734687908.449152,211945.000,32679,3,GY,1,100,1.434
1734687908.489152,211985.000,32679,3,GY,1,100,1.526
1734687908.529152,212025.000,32679,3,GY,1,100,-1.495
1734687908.569152,212065.000,32694,2,GY,1,100,-0.916
1734687908.609151,212105.000,32694,2,GY,1,100,-0.122
1734687908.649151,212145.000,32711,3,GY,1,100,0.305
1734687908.689151,212185.000,32711,3,GY,1,100,0.977
1734687908.729151,212225.000,32711,3,GY,1,100,-0.854
1734687908.769150,212265.000,32728,2,GY,1,100,-0.671
1734687908.809150,212305.000,32728,2,GY,1,100,-1.251
1734687908.849150,212345.000,32744,3,GY,1,100,-1.526
1734687908.889149,212385.000,32744,3,GY,1,100,-1.495
1734687908.929149,212425.000,32744,3,GY,1,100,-1.617
1734687908.969149,212465.000,32760,2,GY,1,100,-2.106
1734687909.009149,212505.000,32760,2,GY,1,100,-1.648
1734687909.049148,212545.000,32778,3,GY,1,100,-0.122
1734687909.089148,212585.000,32778,3,GY,1,100,0.122
1734687909.129148,212625.000,32778,3,GY,1,100,-0.427
1734687909.169148,212665.000,32795,3,GY,1,100,-1.190
1734687909.209147,212705.000,32795,3,GY,1,100,-0.244
1734687909.249147,212745.000,32795,3,GY,1,100,-0.275
1734687909.289147,212785.000,32812,2,GY,1,100,-0.427
1734687909.329147,212825.000,32812,2,GY,1,100,-0.549
1734687909.364813,212860.667,32827,3,GY,1,100,-0.916
1734687909.400480,212896.333,32827,3,GY,1,100,-1.251
1734687909.436146,212932.000,32827,3,GY,1,100,0.366
1734687909.476146,212972.000,32843,3,GY,1,100,0.824
1734687909.516145,213012.000,32843,3,GY,1,100,-1.038
1734687909.556145,213052.000,32843,3,GY,1,100,-0.885
1734687909.596145,213092.000,32860,2,GY,1,100,0.153
