LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1735118213.986892,747705.000,53667,3,AX,1,100,0.954
1735118214.026891,747745.000,53667,3,AX,1,100,0.953
1735118214.066892,747785.000,53667,3,AX,1,100,0.952
1735118214.106892,747825.000,53681,2,AX,1,100,0.950
1735118214.146892,747865.000,53681,2,AX,1,100,0.954
1735118214.186892,747905.000,53699,3,AX,1,100,0.945
1735118214.226892,747945.000,53699,3,AX,1,100,0.958
1735118214.266892,747985.000,53699,3,AX,1,100,0.950
1735118214.306892,748025.000,53715,2,AX,1,100,0.948
1735118214.346892,748065.000,53715,2,AX,1,100,0.959
1735118214.386892,748105.000,53732,3,AX,1,100,0.950
1735118214.426892,748145.000,53732,3,AX,1,100,0.952
1735118214.466892,748185.000,53732,3,AX,1,100,0.953
1735118214.506892,748225.000,53746,2,AX,1,100,0.950
1735118214.546892,748265.000,53746,2,AX,1,100,0.952
1735118214.586892,748305.000,53764,3,AX,1,100,0.950
1735118214.626892,748345.000,53764,3,AX,1,100,0.956
1735118214.666892,748385.000,53764,3,AX,1,100,0.957
1735118214.702558,748420.667,53782,3,AX,1,100,0.951
1735118214.738225,748456.333,53782,3,AX,1,100,0.955
1735118214.773892,748492.000,53782,3,AX,1,100,0.952
1735118214.813892,748532.000,53799,2,AX,1,100,0.950
1735118214.853892,748572.000,53799,2,AX,1,100,0.955
1735118214.893892,748612.000,53814,3,AX,1,100,0.950
1735118214.933892,748652.000,53814,3,AX,1,100,0.951
1735118214.973892,748692.000,53814,3,AX,1,100,0.952
1735118215.013892,748732.000,53831,2,AX,1,100,0.949
1735118215.053892,748772.000,53831,2,AX,1,100,0.949
1735118215.093892,748812.000,53847,3,AX,1,100,0.952
1735118215.133892,748852.000,53847,3,AX,1,100,0.954
1735118215.173892,748892.000,53847,3,AX,1,100,0.952
1735118215.213892,748932.000,53865,2,AX,1,100,0.952
1735118215.253892,748972.000,53865,2,AX,1,100,0.953
1735118215.293892,749012.000,53879,3,AX,1,100,0.954
1735118215.333892,749052.000,53879,3,AX,1,100,0.952
1735118215.373892,749092.000,53879,3,AX,1,100,0.949
1735118215.413892,749132.000,53903,4,AX,1,100,0.952
1735118215.453892,749172.000,53903,4,AX,1,100,0.949
1735118215.493892,749212.000,53903,4,AX,1,100,0.953
