LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1734243947.884883,906759.000,15312,4,DC,2,100,1
1734243947.910633,906784.750,15329,4,DC,2,100,EA
1734243947.936383,906810.500,15329,4,DC,2,100,2
1734243947.962134,906836.250,15329,4,DC,2,100,EL
1734243947.987884,906862.000,15329,4,DC,2,100,2
1734243948.013384,906887.500,15346,4,DC,2,100,EA
1734243948.038885,906913.000,15346,4,DC,2,100,2
1734243948.064385,906938.500,15346,4,DC,2,100,EL
1734243948.089885,906964.000,15346,4,DC,2,100,2
1734243948.115136,906989.250,15363,4,DC,2,100,EA
1734243948.140386,907014.500,15363,4,DC,2,100,1
1734243948.165636,907039.750,15363,4,DC,2,100,EL
1734243948.190886,907065.000,15363,4,DC,2,100,1
1734243948.217887,907092.000,15382,4,DC,2,100,EA
1734243948.244887,907119.000,15382,4,DC,2,100,2
1734243948.271888,907146.000,15382,4,DC,2,100,EL
1734243948.298888,907173.000,15382,4,DC,2,100,2
1734243948.322138,907196.250,15399,4,DC,2,100,EA
1734243948.345388,907219.500,15399,4,DC,2,100,1
1734243948.368639,907242.750,15399,4,DC,2,100,EL
1734243948.391889,907266.000,15399,4,DC,2,100,1
1734243948.417389,907291.500,15415,4,DC,2,100,EA
1734243948.442889,907317.000,15415,4,DC,2,100,2
1734243948.468390,907342.500,15415,4,DC,2,100,EL
1734243948.493890,907368.000,15415,4,DC,2,100,2
1734243948.519890,907394.000,15432,4,DC,2,100,EA
1734243948.545891,907420.000,15432,4,DC,2,100,1
1734243948.571891,907446.000,15432,4,DC,2,100,EL
1734243948.597891,907472.000,15432,4,DC,2,100,1
1734243948.623142,907497.250,15451,4,DC,2,100,EA
1734243948.648392,907522.500,15451,4,DC,2,100,2
1734243948.673642,907547.750,15451,4,DC,2,100,EL
1734243948.698892,907573.000,15451,4,DC,2,100,2
1734243948.723643,907597.750,15468,4,DC,2,100,EA
1734243948.748393,907622.500,15468,4,DC,2,100,1
1734243948.773143,907647.250,15468,4,DC,2,100,EL
1734243948.797894,907672.000,15468,4,DC,2,100,1
1734243948.824144,907698.250,15484,4,DC,2,100,EA
1734243948.850394,907724.500,15484,4,DC,2,100,2
1734243948.876644,907750.750,15484,4,DC,2,100,EL
1734243948.902895,907777.000,15484,4,DC,2,100,2
1734243948.927645,907801.750,15502,4,DC,2,100,EA
1734243948.952395,907826.500,15502,4,DC,2,100,1
1734243948.977146,907851.250,15502,4,DC,2,100,EL
1734243949.001896,907876.000,15502,4,DC,2,100,1
1734243949.027396,907901.500,15520,4,DC,2,100,EA
1734243949.052896,907927.000,15520,4,DC,2,100,2
