LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734686326.706891,603138.000,30997,2,AY,1,100,-0.040
1734686326.746892,603178.000,30997,2,AY,1,100,-0.049
1734686326.786894,603218.000,31017,3,AY,1,100,-0.066
1734686326.826895,603258.000,31017,3,AY,1,100,-0.062
1734686326.866897,603298.000,31017,3,AY,1,100,-0.059
1734686326.906898,603338.000,31031,2,AY,1,100,-0.048
1734686326.946900,603378.000,31031,2,AY,1,100,-0.047
1734686326.986901,603418.000,31048,3,AY,1,100,-0.055
1734686327.026903,603458.000,31048,3,AY,1,100,-0.065
1734686327.066904,603498.000,31048,3,AY,1,100,-0.064
1734686327.106906,603538.000,31065,2,AY,1,100,-0.059
1734686327.146907,603578.000,31065,2,AY,1,100,-0.060
1734686327.186909,603618.000,31082,3,AY,1,100,-0.053
1734686327.226910,603658.000,31082,3,AY,1,100,-0.056
1734686327.266912,603698.000,31082,3,AY,1,100,-0.050
1734686327.306913,603738.000,31096,2,AY,1,100,-0.046
1734686327.346915,603778.000,31096,2,AY,1,100,-0.052
1734686327.382249,603813.333,31116,3,AY,1,100,-0.052
1734686327.417584,603848.667,31116,3,AY,1,100,-0.051
1734686327.452919,603884.000,31116,3,AY,1,100,-0.055
1734686327.492920,603924.000,31132,3,AY,1,100,-0.051
1734686327.532922,603964.000,31132,3,AY,1,100,-0.053
1734686327.572923,604004.000,31132,3,AY,1,100,-0.054
1734686327.612925,604044.000,31149,2,AY,1,100,-0.056
1734686327.652926,604084.000,31149,2,AY,1,100,-0.048
1734686327.692928,604124.000,31163,3,AY,1,100,-0.041
1734686327.732929,604164.000,31163,3,AY,1,100,-0.041
1734686327.772931,604204.000,31163,3,AY,1,100,-0.049
1734686327.812932,604244.000,31181,2,AY,1,100,-0.049
1734686327.852934,604284.000,31181,2,AY,1,100,-0.041
1734686327.892935,604324.000,31197,3,AY,1,100,-0.033
1734686327.932937,604364.000,31197,3,AY,1,100,-0.044
1734686327.972938,604404.000,31197,3,AY,1,100,-0.040
1734686328.012940,604444.000,31214,2,AY,1,100,-0.049
1734686328.052941,604484.000,31214,2,AY,1,100,-0.060
1734686328.092943,604524.000,31229,3,AY,1,100,-0.049
1734686328.132944,604564.000,31229,3,AY,1,100,-0.045
1734686328.172946,604604.000,31229,3,AY,1,100,-0.047
1734686328.212947,604644.000,31246,2,AY,1,100,-0.045
1734686328.252949,604684.000,31246,2,AY,1,100,-0.033
