LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1735118681.045242,1214762.000,64246,4,DC,2,100,2
1735118681.070493,1214787.250,64263,4,DC,2,100,EA
1735118681.095742,1214812.500,64263,4,DC,2,100,1
1735118681.120992,1214837.750,64263,4,DC,2,100,EL
1735118681.146243,1214863.000,64263,4,DC,2,100,1
1735118681.180243,1214897.000,64287,4,DC,2,100,EA
1735118681.214243,1214931.000,64287,4,DC,2,100,2
1735118681.248243,1214965.000,64287,4,DC,2,100,EL
1735118681.282243,1214999.000,64287,4,DC,2,100,2
1735118681.307993,1215024.750,64304,4,DC,2,100,EA
1735118681.333743,1215050.500,64304,4,DC,2,100,2
1735118681.359493,1215076.250,64304,4,DC,2,100,EL
1735118681.385243,1215102.000,64304,4,DC,2,100,2
1735118681.409993,1215126.750,64322,4,DC,2,100,EA
1735118681.434743,1215151.500,64322,4,DC,2,100,1
